Time,Diagnosed_people,Dead_people,
2021\05\07,5,0,
2021\05\08,5,0,
2021\05\09,1,0,
2021\05\10,15,0,
2021\05\11,11,0,
2021\05\12,21,0,
2021\05\13,25,0,
2021\05\14,34,0,
2021\05\15,185,0,
2021\05\16,207,0,
2021\05\17,335,0,
2021\05\18,243,2,
2021\05\19,273,0,
2021\05\20,292,1,
2021\05\21,314,0,
2021\05\22,723,2,
2021\05\23,460,6,
2021\05\24,595,6,
2021\05\25,539,6,
2021\05\26,635,11,
2021\05\27,670,13,
2021\05\28,554,19,
2021\05\29,491,21,
2021\05\30,354,10,
2021\05\31,351,15,
2021\06\01,331,13,
2021\06\02,547,12,
2021\06\03,585,17,
2021\06\04,472,21,
2021\06\05,510,37,
2021\06\06,342,36,
2021\06\07,193,26,
2021\06\08,203,22,
2021\06\09,274,25,
2021\06\10,254,28,
2021\06\11,278,24,
2021\06\12,246,26,
2021\06\13,175,26,
2021\06\14,185,15,
2021\06\15,135,8,
2021\06\16,168,18,
2021\06\17,175,19,
2021\06\18,187,21,
2021\06\19,125,20,
2021\06\20,109,11,
2021\06\21,75,20,
2021\06\22,77,6,
2021\06\23,103,24,
2021\06\24,129,6,
2021\06\25,76,5,
2021\06\26,80,13,
2021\06\27,89,9,
2021\06\28,60,3,
2021\06\29,54,8,
2021\06\30,56,5,
2021\07\01,49,13,
2021\07\02,58,15,
2021\07\03,80,10,
2021\07\04,39,2,
2021\07\05,31,1,
2021\07\06,27,17,
2021\07\07,40,9,
2021\07\08,21,3,
2021\07\09,36,12,
2021\07\10,33,6,
2021\07\11,31,4,
2021\07\12,24,1,
2021\07\13,29,6,
2021\07\14,26,6,
2021\07\15,18,6,
2021\07\16,32,4,
2021\07\17,12,1,
2021\07\18,18,4,
2021\07\19,21,1,
2021\07\20,24,4,
2021\07\21,25,5,
2021\07\22,33,4,
2021\07\23,24,2,
2021\07\24,23,2,
2021\07\25,13,0,
2021\07\26,11,0,
2021\07\27,17,1,
2021\07\28,20,0,
2021\07\29,18,0,
2021\07\30,25,0,
2021\07\31,12,0,
2021\08\01,14,2,
2021\08\02,14,0,
2021\08\03,19,2,
2021\08\04,21,0,
2021\08\05,11,0,
2021\08\06,12,3,
2021\08\07,10,12,
2021\08\08,7,3,
2021\08\09,8,4,
2021\08\10,8,1,
2021\08\11,16,2,
2021\08\12,6,1,
2021\08\13,16,2,
2021\08\14,7,2,
2021\08\15,9,0,
2021\08\16,10,0,
2021\08\17,18,0,
2021\08\18,11,0,
2021\08\19,6,5,
2021\08\20,9,1,
2021\08\21,10,1,
2021\08\22,10,0,
2021\08\23,6,0,
2021\08\24,6,1,
2021\08\25,1,1,
2021\08\26,8,2,
2021\08\27,7,1,
2021\08\28,6,0,
2021\08\29,23,1,
2021\08\30,8,0,
2021\08\31,4,1,
2021\09\01,6,1,
2021\09\02,5,1,
2021\09\03,6,0,
2021\09\04,1,0,
2021\09\05,6,0,
2021\09\06,16,0,
2021\09\07,12,0,
2021\09\08,9,0,
2021\09\09,6,1,
2021\09\10,7,1,
2021\09\11,5,0,
2021\09\12,14,0,
2021\09\13,5,0,
2021\09\14,5,0,
2021\09\15,5,0,
2021\09\16,12,0,
2021\09\17,8,0,
2021\09\18,6,0,
2021\09\19,12,1,
2021\09\20,6,0,
2021\09\21,5,0,
2021\09\22,7,1,
2021\09\23,9,0,
2021\09\24,8,0,
2021\09\25,5,0,
2021\09\26,8,0,
2021\09\27,9,1,
2021\09\28,7,0,
2021\09\29,11,0,
2021\09\30,7,0,
2021\10\01,11,1,
2021\10\02,10,0,
2021\10\03,6,0,
2021\10\04,5,1,
2021\10\05,7,0,
2021\10\06,5,0,
2021\10\07,4,0,
2021\10\08,12,1,
2021\10\09,4,1,
2021\10\10,7,0,
2021\10\11,11,0,
2021\10\12,4,0,
2021\10\13,4,0,
2021\10\14,8,0,
2021\10\15,4,0,
2021\10\16,11,0,
2021\10\17,1,0,
2021\10\18,0,0,
2021\10\19,6,0,
2021\10\20,4,0,
2021\10\21,2,0,
2021\10\22,8,0,
2021\10\23,7,0,
2021\10\24,4,0,
2021\10\25,8,1,
2021\10\26,4,0,
2021\10\27,8,0,
2021\10\28,6,0,
2021\10\29,5,0,
2021\10\30,7,0,
2021\10\31,6,0,
2021\11\01,5,0,
2021\11\02,4,0,
2021\11\03,7,0,
2021\11\04,2,0,
2021\11\05,7,0,
2021\11\06,1,0,
2021\11\07,4,0,
2021\11\08,3,0,
2021\11\09,6,1,
2021\11\10,5,0,
2021\11\11,9,0,
2021\11\12,10,0,
2021\11\13,4,0,
2021\11\14,8,0,
2021\11\15,9,0,
2021\11\16,2,0,
2021\11\17,5,0,
2021\11\18,3,0,
2021\11\19,10,0,
2021\11\20,4,0,
2021\11\21,9,0,
2021\11\22,3,0,
2021\11\23,7,0,
2021\11\24,5,0,
2021\11\25,10,0,
2021\11\26,12,0,
2021\11\27,12,0,
2021\11\28,10,0,
2021\11\29,8,0,
2021\11\30,5,0,
2021\12\01,8,0,
2021\12\02,17,0,
2021\12\03,11,0,
2021\12\04,11,0,
2021\12\05,4,0,
2021\12\06,10,0,
2021\12\07,21,0,
2021\12\08,5,0,
2021\12\09,16,0,
2021\12\10,17,0,
2021\12\11,10,0,
2021\12\12,6,0,
2021\12\13,5,0,
2021\12\14,10,0,
2021\12\15,7,1,
2021\12\16,12,0,
2021\12\17,15,0,
2021\12\18,13,0,
2021\12\19,6,1,
2021\12\20,11,0,
2021\12\21,10,0,
2021\12\22,14,0,
2021\12\23,13,0,
2021\12\24,20,0,
2021\12\25,18,0,
2021\12\26,24,0,
2021\12\27,16,0,
2021\12\28,19,0,
2021\12\29,14,0,
2021\12\30,24,0,
2021\12\31,41,0,
2022\01\01,21,0,
2022\01\02,20,0,
2022\01\03,25,0,
2022\01\04,34,0,
2022\01\05,26,0,
2022\01\06,43,0,
2022\01\07,60,0,
2022\01\08,44,0,
2022\01\09,60,0,
2022\01\10,31,0,
2022\01\11,70,0,
2022\01\12,96,0,
2022\01\13,65,1,
2022\01\14,68,0,
2022\01\15,77,0,
2022\01\16,51,0,
2022\01\17,65,0,
2022\01\18,66,0,
2022\01\19,54,0,
2022\01\20,36,0,
2022\01\21,68,0,
2022\01\22,129,0,
2022\01\23,87,0,
2022\01\24,51,0,
2022\01\25,35,0,
2022\01\26,92,0,
2022\01\27,63,0,
2022\01\28,68,0,
2022\01\29,47,0,
2022\01\30,54,0,
2022\01\31,55,0,
2022\02\01,60,0,
2022\02\02,53,0,
2022\02\03,55,0,
2022\02\04,71,0,
2022\02\05,72,0,
2022\02\06,43,0,
2022\02\07,48,0,
2022\02\08,47,0,
2022\02\09,54,0,
2022\02\10,83,0,
2022\02\11,79,0,
2022\02\12,60,0,
2022\02\13,52,0,
2022\02\14,54,0,
2022\02\15,45,1,
2022\02\16,65,0,
2022\02\17,66,0,
2022\02\18,67,0,
2022\02\19,73,0,
2022\02\20,70,0,
2022\02\21,49,0,
2022\02\22,44,0,
2022\02\23,56,0,
2022\02\24,80,0,
2022\02\25,68,1,
2022\02\26,69,0,
2022\02\27,60,0,
2022\02\28,56,0,
2022\03\01,44,0,
2022\03\02,49,0,
2022\03\03,71,0,
2022\03\04,64,0,
2022\03\05,80,0,
2022\03\06,43,0,
2022\03\07,29,0,
2022\03\08,53,0,
2022\03\09,77,0,
2022\03\10,82,0,
2022\03\11,82,0,
2022\03\12,62,0,
2022\03\13,63,0,
2022\03\14,75,0,
2022\03\15,39,0,
2022\03\16,90,0,
2022\03\17,91,0,
2022\03\18,75,0,
2022\03\19,126,0,
2022\03\20,121,0,
2022\03\21,98,0,
2022\03\22,88,0,
2022\03\23,97,0,
2022\03\24,139,0,
2022\03\25,136,0,
2022\03\26,103,0,
2022\03\27,203,0,
2022\03\28,127,0,
2022\03\29,96,0,
2022\03\30,163,0,
2022\03\31,238,0,
2022\04\01,236,0,
2022\04\02,404,0,
2022\04\03,279,0,
2022\04\04,273,0,
2022\04\05,281,0,
2022\04\06,359,0,
2022\04\07,531,0,
2022\04\08,507,0,
2022\04\09,573,1,
2022\04\10,574,0,
2022\04\11,630,0,
2022\04\12,626,0,
2022\04\13,927,0,
2022\04\14,981,0,
2022\04\15,1283,0,
2022\04\16,1348,0,
2022\04\17,1302,0,
2022\04\18,1476,0,
2022\04\19,1727,2,
2022\04\20,2476,0,
2022\04\21,3057,0,
2022\04\22,3857,0,
2022\04\23,4198,0,
2022\04\24,5170,0,
2022\04\25,5218,0,
2022\04\26,6336,0,
2022\04\27,8916,2,
2022\04\28,11508,2,
2022\04\29,12307,2,
2022\04\30,15130,3,
2022\05\01,17072,3,
2022\05\02,17853,3,
2022\05\03,23134,5,
2022\05\04,28476,5,
2022\05\05,29984,5,
2022\05\06,36167,10,
2022\05\07,46414,11,
2022\05\08,42288,12,
2022\05\09,40233,12,
2022\05\10,50819,12,
2022\05\11,57132,8,
2022\05\12,65415,17,
2022\05\13,65000,41,
2022\05\14,63954,40,
2022\05\15,68719,19,
2022\05\16,61714,29,
2022\05\17,65802,38,
2022\05\18,85082,41,
2022\05\19,89420,59,
2022\05\20,85730,49,
2022\05\21,84606,59,
2022\05\22,79474,53,
2022\05\23,66269,40,
2022\05\24,82379,42,
2022\05\25,89361,76,
2022\05\26,81891,104,
2022\05\27,94796,126,
2022\05\28,80636,127,
2022\05\29,76569,145,
2022\05\30,60083,109,
2022\05\31,80628,90,
2022\06\01,88248,122,
2022\06\02,76930,144,
2022\06\03,76505,142,
2022\06\04,68128,152,
2022\06\05,62077,124,
2022\06\06,53010,151,
2022\06\07,82990,124,
2022\06\08,80070,159,
2022\06\09,72846,211,
2022\06\10,68293,213,
2022\06\11,79616,211,
2022\06\12,50567,163,
2022\06\13,45100,109,
2022\06\14,66138,123,
2022\06\15,68931,143,
2022\06\16,63133,168,
2022\06\17,55222,154,
2022\06\18,53666,181,
2022\06\19,50623,172,
2022\06\20,35619,144,
2022\06\21,56366,115,
2022\06\22,52218,171,
2022\06\23,48320,166,
2022\06\24,45736,152,
2022\06\25,40368,151,
2022\06\26,39642,134,
2022\06\27,28576,91,
2022\06\28,44417,103,
2022\06\29,42025,85,
2022\06\30,38920,118,
2022\07\01,35766,121,
2022\07\02,34807,96,
2022\07\03,32672,88,
2022\07\04,23115,69,
2022\07\05,35984,103,
2022\07\06,34561,95,
2022\07\07,31433,105,
2022\07\08,30446,131,
2022\07\09,28122,94,
2022\07\10,27839,71,
2022\07\11,19128,96,
2022\07\12,31273,60,
2022\07\13,29861,49,
2022\07\14,27639,88,
2022\07\15,25271,114,
2022\07\16,25266,72,
2022\07\17,24322,73,
2022\07\18,17989,48,
2022\07\19,27127,37,
2022\07\20,27172,57,
2022\07\21,25151,74,
2022\07\22,24062,86,
2022\07\23,22568,53,
2022\07\24,21726,65,
2022\07\25,17124,53,
2022\07\26,25048,37,
2022\07\27,25661,28,
2022\07\28,23949,62,
2022\07\29,23271,57,
2022\07\30,21486,60,
2022\07\31,21063,34,
2022\08\01,16576,36,
2022\08\02,23533,31,
2022\08\03,23892,32,
2022\08\04,22942,56,
2022\08\05,21841,54,
2022\08\06,19850,51,
2022\08\07,22042,42,
2022\08\08,15407,26,
2022\08\09,23635,18,
2022\08\10,23773,25,
2022\08\11,22874,44,
2022\08\12,21951,31,
2022\08\13,21265,40,
2022\08\14,21074,22,
2022\08\15,15782,22,
2022\08\16,23132,16,
2022\08\17,24816,33,
2022\08\18,23400,34,
2022\08\19,22795,32,
2022\08\20,22130,36,
2022\08\21,22380,26,
2022\08\22,16903,23,
2022\08\23,26343,16,
2022\08\24,28531,18,
2022\08\25,27227,37,
2022\08\26,26718,45,
2022\08\27,25853,40,
2022\08\28,26735,31,
2022\08\29,20424,22,
2022\08\30,31440,27,
2022\08\31,34580,21,
2022\09\01,33684 ,23,
